epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,tr_a_4,tr_a_5,te_a_0,te_a_1,te_a_2,te_a_3,te_a_4,te_a_5
1,32923,33210,33441,33411,32972,32837,18811,20034,9990,32066,16536,27338
2,38102,41745,40319,41978,40688,45750,1806,93015,6920,2365,7288,13322
3,36714,50271,36313,37916,42757,44707,21621,14779,4725,55928,24658,3100
4,35049,37376,47196,43695,43327,42193,1489,74306,33527,8793,4123,2564
5,41063,47246,46419,37477,42214,34769,11961,11774,16171,1068,30876,53011
6,34810,48911,38724,38724,45972,42213,10076,9374,16578,21355,45775,21704
7,28909,46321,40569,36454,52920,44248,5536,13500,1593,63524,39434,1310
8,29172,46348,42859,32515,59610,38980,28036,9898,25676,34224,24738,2303
9,30767,48332,41659,27760,59531,41432,18632,36237,11446,1608,25380,31575
10,30685,55337,37150,28506,54329,43402,4282,35813,14903,2057,31726,36084
11,29365,51296,37561,32050,54366,44780,17170,21948,4858,2154,36116,42637
12,31685,48276,38621,31503,54986,44334,1113,94685,1302,4330,17017,6444
13,32114,47280,39853,30920,55101,44195,4125,35403,3846,48865,31152,1473
14,33576,49299,39108,32262,52200,42968,1857,67869,32068,12895,1657,8527
15,35397,49126,38796,34375,47861,43894,33907,11178,16006,10098,32847,20854
16,33543,48023,41232,32121,49594,44885,1128,15012,10456,10802,46987,40490
17,32293,50672,41094,29323,52381,43697,16580,14762,2572,30954,48850,11169
18,32267,51497,40626,31120,51463,42450,2819,20976,36794,32728,16153,15408
19,32675,48896,40772,32568,50546,43993,1928,73185,27902,4624,4121,13109
20,31052,46661,43410,32455,52861,42984,10768,13651,47200,3429,5502,44319
21,30974,49142,41798,34058,49241,44210,5556,16710,8451,36879,48722,8557
22,30559,47279,42406,33845,51417,43879,2918,24269,11374,22006,38354,25967
23,31714,45589,41083,33972,51101,45969,49777,32167,10442,8296,15347,8856
24,31212,45027,43895,33264,52293,43743,2322,18625,36582,4374,11941,51033
25,31839,47133,42610,33297,51317,43252,1377,6243,6865,4130,47242,59022
26,30452,45569,44033,33423,53020,42951,11191,67154,7000,6378,16563,16604
27,30589,47058,41525,34746,48954,46611,11427,23506,17408,38552,25950,8032
28,32630,46704,40769,35747,49141,44471,14409,30652,32609,33307,8304,5617
29,31148,47567,42416,34735,49125,44482,73858,16782,9376,2504,10440,11939
30,31905,45074,43687,33834,49836,45132,40245,20359,14887,26421,19408,3569
31,33128,47136,42952,33311,48963,43997,3390,46537,10035,29487,28620,6846
32,30423,47603,43479,34122,48115,45728,9177,11979,3989,2722,48719,48309
33,30457,44747,43096,34432,51196,45530,3697,6044,21298,12593,46646,34613
34,32132,44912,41671,34871,50483,45397,4207,4854,15022,46266,39103,15456
35,30376,44242,43302,37157,50660,43726,11317,3864,10108,4535,42839,52233
36,31680,45709,43881,35016,48689,44476,63910,13770,10029,5231,15514,16428
37,32513,45634,43867,36747,47593,43126,3203,60225,25514,20456,11601,3904
38,32344,45844,41911,36829,47577,44966,2386,4506,8731,53416,50058,5818
39,31574,44660,42624,36834,46677,47119,8200,48831,19257,6370,15585,26668
40,32548,44232,42988,36264,47097,46378,1977,15073,39121,33607,14927,20208
41,32258,46701,42402,35388,46548,46210,6042,5628,5556,54609,49334,3728
42,29645,46116,42579,36477,48284,46388,7707,14157,50698,23614,5159,23559
43,31825,47230,42341,36065,46922,45110,15325,59260,11943,7236,14382,16742
44,32237,47491,42513,36705,45496,45053,1562,3154,20730,13408,35950,50098
45,31362,46684,42040,37092,44461,47895,7291,23998,54311,29402,2046,7846
46,31831,45157,42870,36845,46308,46498,1807,32060,5980,19992,35405,29669
47,31323,46418,42473,35420,46908,46966,19537,18350,38547,20047,6465,21961
48,29920,45066,42963,37551,45655,48319,3003,2913,32625,2876,23165,60324
49,31471,45225,43924,35131,49162,44599,11574,26368,24437,15876,24258,22391
50,32521,46695,40572,36859,47747,45119,13801,11151,18555,20687,39971,20743
51,32381,43486,41987,37116,47946,46611,40843,7625,8613,26705,26823,14305
52,33938,44479,43107,35069,46957,45939,47765,15336,12163,6622,17464,25561
53,32442,46025,40989,38406,46728,44892,53699,23332,13923,14972,10165,8800
54,32962,44040,41353,35696,50214,45265,17958,45933,23176,6210,12815,18820
55,32785,44765,41514,38025,47167,45276,1970,3368,46443,25622,8645,38866
