epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,te_a_0,te_a_1,te_a_2,te_a_3
1,36182,12353,16098,130742,2522,115872,3007,2835
2,46956,37440,33272,125666,14942,50997,27917,30478
3,45635,42937,64476,91315,2687,27513,21253,72889
4,34898,53125,66485,89786,4870,53411,30180,36042
5,32417,49290,82113,82630,15013,11397,44561,53787
6,34229,50837,71266,91341,29034,18592,39596,37599
7,42049,51401,69991,84595,32068,24935,32860,34962
8,46812,51387,66409,83754,30971,18096,35122,40674
9,49782,49967,66347,82611,42511,8686,32996,40698
10,59378,52425,63358,73736,40330,18032,32470,34064
11,63214,53667,59349,72788,32333,6568,40288,45722
12,61060,53644,61180,73166,31934,5206,42553,45217
13,61849,59880,57769,69575,17933,58042,24541,24395
14,63523,61965,57002,66562,57714,31060,17341,18795
15,61868,61569,58589,67048,50305,6206,29613,38793
16,65454,64704,56038,62882,37337,50024,18119,19442
17,62200,64425,58358,64022,20576,3847,26904,73583
18,65063,63604,55713,64538,18214,12536,45974,48196
19,67758,66126,52216,62983,2645,30056,60417,31749
20,60357,62252,54454,71982,62351,24824,19461,18274
21,63638,65519,56683,63223,18427,33786,37282,35427
22,63471,64459,52199,68854,23756,29668,32754,38751
23,61006,66601,53973,67521,22141,9822,43436,49529
24,59818,63591,58366,67292,23011,30590,26906,44423
25,60350,63259,56508,69001,34844,5979,43917,40186
26,61394,64184,55687,67843,10085,7038,39051,68757
27,62416,64837,53728,68123,5435,41597,57974,19858
28,59794,60543,57059,71642,13907,61965,25263,23792
29,61311,64073,52326,71401,10857,39456,35430,39190
30,62829,64027,54683,67537,12035,50628,15451,46800
31,61080,65694,50525,71803,21328,73417,15256,14923
32,62701,66767,49923,69703,33325,8678,43422,39489
33,63619,64040,51322,70138,5904,11520,53135,54365
34,60566,64115,52040,72327,32350,57961,15505,19091
35,62778,64129,51262,70839,22721,61437,18302,22467
36,63045,66702,50982,68306,26425,9237,43514,45745
37,63968,67381,50695,67035,19244,6758,46544,52387
38,61804,65102,49752,72384,26062,18388,26331,54149
39,61804,65989,51189,70057,53661,31465,16811,22993
40,60587,65087,50475,72882,11200,72568,15464,25686
41,62337,63529,51573,71578,37212,15044,33453,39226
42,63398,66530,48583,70596,22622,38899,34666,28731
43,62351,67577,50485,68650,12291,83037,14412,15167
44,66278,64148,49031,69621,26248,57604,18393,22681
45,65794,68747,49258,65189,7183,87035,16902,13791
46,67338,67486,50189,64027,18783,18526,26801,60817
47,65539,64500,51494,67479,66444,25751,16451,16268
48,65184,65136,50181,68485,24114,7800,28234,64780
49,63639,62768,52553,70021,15533,49765,27022,32586
50,64130,63868,52525,68421,28416,43995,19026,33485
51,61858,64278,51333,71551,10935,59742,23588,30661
52,63307,65727,52324,67596,41295,9285,40573,33755
53,63753,64757,49262,71263,15697,29042,41059,39113
54,62150,65026,53311,68427,12357,61396,22050,29122
55,63886,67132,51729,66141,18797,26202,64302,15537
56,65354,66435,51567,65512,33932,46586,15147,29259
57,65511,65689,48273,69509,4264,13010,47675,59973
58,68008,66042,49427,65514,37592,38181,20139,29012
59,67017,67554,48800,65568,32381,31093,20344,41091
60,66453,66951,49445,66069,63411,36343,11254,13910
61,62873,65653,50182,70286,4748,44264,37272,38628
62,64695,67588,50625,65983,17369,50747,26901,29893
63,62833,65589,49701,70825,12050,70118,20758,21983
64,63615,66262,52956,66013,21128,21950,42504,39341
65,63903,67575,51044,66442,16242,48707,24382,35589
66,66063,66100,50162,66642,46299,10671,34425,33530
67,70127,62224,51760,64700,28221,24746,48452,23456
