epoch,tr_a_0,tr_a_1,tr_a_2,tr_a_3,tr_a_4,tr_a_5,te_a_0,te_a_1,te_a_2,te_a_3,te_a_4,te_a_5
1,57134,58192,50923,24359,4238,4102,1976,115426,1702,1171,1451,3084
2,72305,71843,60140,32164,5979,6325,18447,21432,5753,29538,9793,39837
3,73107,73035,56575,30803,6803,8357,4505,8041,5917,7308,8714,90309
4,61756,70002,64089,33887,9795,9104,19584,10425,16134,9885,18914,49797
5,54024,63601,72647,38914,11000,8510,11630,48245,27584,15139,4800,17409
6,61068,60623,66839,40408,10622,9368,32718,11441,21292,41028,13448,4930
7,57919,54506,67571,43683,13874,11495,3042,47785,1753,19301,43391,9554
8,56120,55743,66685,42915,15712,11877,1139,2243,4094,17683,74376,25354
9,57167,54298,66487,41194,17236,12665,2187,73031,9444,10842,20292,9023
10,56589,55809,65864,39971,16807,13962,40078,15767,6627,12176,19336,30874
11,55399,55276,66821,39214,19081,13223,1176,18097,43321,33360,18704,10204
12,54685,53977,64908,39810,20195,15485,17330,2046,39230,2186,8643,55449
13,53557,50923,64048,42273,21725,16576,2374,10784,6734,54862,42081,8031
14,55611,50135,62359,40465,23184,17363,20197,35838,25093,23184,9097,11450
15,53053,50307,61722,41889,23893,18232,2292,31067,60081,18193,10555,2700
16,53064,50685,61275,40297,24727,19079,12188,1579,13581,5077,32087,60369
17,53541,47469,62182,40116,26449,19387,1289,40626,39082,4698,10184,28996
18,51933,48678,60753,40485,27757,19535,1317,8199,64858,6946,4989,38555
19,50432,50153,59202,39678,27446,22230,4496,85565,8622,13585,10924,1673
20,48741,49286,58535,41406,28085,23131,27270,3999,27118,5845,26787,33839
21,49107,47639,57212,41685,29813,23781,9751,69630,17868,17343,6978,3297
22,50012,46947,56539,42247,28998,24488,1532,61101,14064,25565,19894,2712
23,48813,47531,54972,41401,30552,25982,13357,28244,31816,38397,5390,7664
24,48997,46370,57044,40390,30788,25668,1260,38015,42707,3586,12506,26795
25,47740,47411,55894,40831,31440,25993,1429,35432,38146,25024,12042,12803
26,45950,48565,53429,42055,32316,26970,6223,14057,25058,63208,13241,3092
27,44844,47378,52604,41184,34277,29041,4086,33517,27065,9689,10860,39679
28,44379,48038,50970,41603,33798,30508,34454,38721,11516,7888,16579,15704
29,44679,46661,52557,38692,36681,30039,12776,6176,7467,11109,46548,40801
30,43193,45406,54164,40228,37177,29178,25988,25782,18502,25605,20609,8382
31,43981,46700,51482,38306,38396,30468,59150,2391,15892,2988,23925,20534
32,41642,44298,50294,39450,41502,32179,53356,11195,27956,15859,6190,10334
33,40660,45795,49927,38493,42127,32384,6798,2704,25132,50877,29277,10102
34,39584,48437,47121,38378,42319,33563,6070,27117,2856,4802,47217,36806
