epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,392,169,0.43112244898,0.412804392981
2,419,568,1.35560859189,0.453726342896
3,571,1538,2.69352014011,0.69940028561
4,215,3293,15.3162790698,1.21509658438
5,182,3338,18.3406593407,1.68938263844
6,157,3860,24.5859872611,1.94268488988
7,120,4933,41.1083333333,2.27411899212
8,101,5667,56.1089108911,2.49897528658
9,94,6373,67.7978723404,2.86378082406
10,92,6723,73.0760869565,3.04031106418
11,86,7055,82.0348837209,3.31954289754
12,86,8997,104.61627907,3.27207536731
13,85,10248,120.564705882,3.44244328793
14,110,9923,90.2090909091,3.68311840943
15,79,14431,182.670886076,3.61486386991
16,79,14168,179.341772152,3.93351188716
17,78,15028,192.666666667,4.06006001837
18,72,16957,235.513888889,3.87167532887
19,80,14599,182.4875,4.34174106479
20,83,14956,180.192771084,4.05652489631
21,75,14816,197.546666667,4.29476407522
22,90,14637,162.633333333,4.52548091825
23,89,12982,145.865168539,4.43525597546
24,73,12951,177.410958904,4.74569691584
25,76,16169,212.75,4.61413364235
26,77,16823,218.480519481,4.42867585145
27,80,16488,206.1,4.58938846285
28,117,8659,74.0085470085,4.46686698711
29,112,7232,64.5714285714,4.37579277411
30,76,15678,206.289473684,4.22032649742
31,85,17115,201.352941176,4.20382495198
32,78,17997,230.730769231,4.16265125688
33,73,17392,238.246575342,3.86784647264
34,74,19530,263.918918919,4.04227811392
35,72,17210,239.027777778,3.85000905726
36,76,18376,241.789473684,4.15060057763
37,80,17338,216.725,4.13876987755
38,80,16050,200.625,4.0015592543
39,78,18819,241.269230769,4.00278779328
40,69,17518,253.884057971,4.07427577149
41,73,17675,242.123287671,4.1488489401
42,74,17626,238.189189189,4.45135049343
43,77,19929,258.818181818,4.69026913553
44,78,19029,243.961538462,4.47874492586
45,97,12144,125.195876289,4.55248013187
46,76,19561,257.381578947,4.62495895892
47,92,16974,184.5,4.51853774901
48,75,21265,283.533333333,4.51807644136
49,72,23186,322.027777778,4.44945975859
50,72,20457,284.125,4.48977648854
51,73,17749,243.136986301,4.37275379993
52,70,20015,285.928571429,4.28370198257
53,85,16978,199.741176471,4.47006631762
54,68,18428,271.0,4.59073329028
55,81,17133,211.518518519,4.37850744896
56,69,22522,326.405797101,4.29863220964
57,121,7396,61.1239669421,4.26118657272
58,73,19205,263.082191781,4.17253537014
59,116,12458,107.396551724,4.33016184241
60,98,14958,152.632653061,4.32310092241
61,69,22021,319.144927536,4.44180495195
62,73,20525,281.164383562,4.56987907015
63,78,17248,221.128205128,4.80973905742
64,78,21569,276.525641026,4.59834501114
65,65,20988,322.892307692,4.49769703247
66,78,21060,270.0,4.11113122012
67,69,20585,298.333333333,3.99245125502
68,77,16080,208.831168831,4.16228214543
69,77,19293,250.558441558,3.97901493225
70,70,21656,309.371428571,3.95625285178
71,76,23677,311.539473684,3.96449520029
72,78,20639,264.602564103,3.81896101661
73,71,19746,278.112676056,3.88892609157
74,67,18847,281.298507463,4.07175048683
75,65,21327,328.107692308,4.00612448111
76,73,18640,255.342465753,4.01338967614
77,68,20344,299.176470588,4.24304055415
78,69,20639,299.115942029,4.11603436589
79,74,18326,247.648648649,4.18260695875
