epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,18,0,0.0,0.188970325035
2,59,76,1.28813559322,0.184538885127
3,21,0,0.0,0.208603603668
4,22,0,0.0,0.207025341932
5,20,0,0.0,0.205769975781
6,21,0,0.0,0.192994017922
7,16,204,12.75,0.292587899591
8,26,238,9.15384615385,0.205755517222
9,20,234,11.7,0.342558065411
10,27,254,9.40740740741,0.306846416243
11,21,290,13.8095238095,0.380505375941
12,25,265,10.6,0.39561259035
13,26,217,8.34615384615,0.356784862517
14,20,320,16.0,0.357683911915
15,19,256,13.4736842105,0.346865815474
16,21,275,13.0952380952,0.385701137409
17,20,272,13.6,0.398768981332
18,18,247,13.7222222222,0.388013268099
19,17,335,19.7058823529,0.382982196263
20,21,334,15.9047619048,0.39412412778
21,16,293,18.3125,0.371309338468
22,17,298,17.5294117647,0.352188212418
23,17,335,19.7058823529,0.369357200703
24,13,309,23.7692307692,0.413844887419
25,16,363,22.6875,0.426332526482
26,15,329,21.9333333333,0.367025475204
27,14,346,24.7142857143,0.364821329634
28,14,292,20.8571428571,0.362661688593
29,14,314,22.4285714286,0.432513703504
30,15,319,21.2666666667,0.416277385857
31,12,351,29.25,0.419110872382
32,12,326,27.1666666667,0.444264832647
33,14,361,25.7857142857,0.436515745451
34,12,347,28.9166666667,0.430677523795
35,11,345,31.3636363636,0.396304541356
36,11,358,32.5454545455,0.430145532587
37,11,375,34.0909090909,0.422600040147
38,11,370,33.6363636364,0.451716711139
39,11,395,35.9090909091,0.444791448181
40,11,416,37.8181818182,0.436580836894
41,10,383,38.3,0.4321985872
42,9,349,38.7777777778,0.441376584466
43,10,369,36.9,0.43796032385
44,8,422,52.75,0.433239035024
45,9,456,50.6666666667,0.427107337881
46,9,555,61.6666666667,0.416237946437
47,7,556,79.4285714286,0.481810559351
48,8,641,80.125,0.465749101099
49,9,478,53.1111111111,0.445879686652
50,8,462,57.75,0.456959223719
51,9,430,47.7777777778,0.463769602077
52,10,421,42.1,0.443525087126
53,10,403,40.3,0.451233035629
54,8,677,84.625,0.470544839632
55,8,504,63.0,0.488515372127
56,8,549,68.625,0.404648352046
57,8,489,61.125,0.462440298959
58,9,686,76.2222222222,0.451955524595
59,10,385,38.5,0.484467873992
60,12,671,55.9166666667,0.439238602393
61,7,522,74.5714285714,0.453208554029
62,8,524,65.5,0.459975064471
63,8,647,80.875,0.442372534983
64,7,638,91.1428571429,0.464404320661
65,8,685,85.625,0.481245589396
66,7,722,103.142857143,0.445516750282
67,7,528,75.4285714286,0.442341836877
68,8,488,61.0,0.464861712293
69,9,1001,111.222222222,0.499150811713
70,7,840,120.0,0.448681217129
71,8,445,55.625,0.458890247196
72,8,564,70.5,0.443507593418
73,7,604,86.2857142857,0.489714147998
74,8,606,75.75,0.473143968498
75,8,830,103.75,0.455382014862
76,8,905,113.125,0.506708469735
77,7,873,124.714285714,0.434267565324
78,7,845,120.714285714,0.42856285078
79,7,500,71.4285714286,0.522138497569
80,7,782,111.714285714,0.493188821422
81,7,1048,149.714285714,0.49564589493
82,6,840,140.0,0.499675430432
83,8,601,75.125,0.458567025103
84,8,502,62.75,0.471039056787
85,7,598,85.4285714286,0.488526778715
86,7,1206,172.285714286,0.473105904162
87,9,858,95.3333333333,0.463219041456
88,7,883,126.142857143,0.450039663282
89,8,844,105.5,0.444259586753
90,7,947,135.285714286,0.462013332997
91,7,1046,149.428571429,0.461586769368
92,7,1382,197.428571429,0.476062229639
93,8,826,103.25,0.439889766751
94,7,875,125.0,0.484144317769
95,6,678,113.0,0.461254939456
96,8,1019,127.375,0.476169760041
97,9,633,70.3333333333,0.463657919895
98,8,1050,131.25,0.48903876598
99,8,939,117.375,0.47564432242
100,5,920,184.0,0.447546028383
