epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,218,49175,225.573394495,1.28675431903
2,236,42945,181.970338983,2.09583720814
3,219,52080,237.808219178,2.72758318016
4,246,57380,233.25203252,3.4843764043
5,144,57650,400.347222222,3.69516121968
6,141,65805,466.70212766,4.50147860833
7,146,64485,441.678082192,5.22775180954
8,115,60625,527.173913043,6.03049256328
9,183,92120,503.387978142,6.56485896255
10,126,81200,644.444444444,6.75061881599
11,120,64195,534.958333333,7.23910924441
12,133,87945,661.240601504,7.33554301029
13,138,78895,571.702898551,7.81823773826
14,114,76880,674.385964912,7.98555285014
15,122,91240,747.868852459,8.49129475296
16,117,84980,726.324786325,8.25969258644
17,112,83675,747.098214286,8.23428851817
18,128,85915,671.2109375,8.45523948431
19,117,84870,725.384615385,8.73168956436
20,117,85490,730.683760684,8.81105359524
21,128,83355,651.2109375,8.76994950928
22,128,82195,642.1484375,8.99154516242
23,121,85835,709.380165289,8.86602645658
24,111,91265,822.207207207,9.00579053234
25,95,85100,895.789473684,9.01653683726
26,118,90445,766.483050847,8.95660088733
27,113,88530,783.451327434,8.91085361883
28,106,86775,818.632075472,8.69012213107
29,125,95610,764.88,8.55898870815
30,111,88375,796.171171171,8.39313684845
31,108,90425,837.268518519,8.49104332585
32,115,95150,827.391304348,8.58208115257
33,118,94945,804.618644068,8.36371455006
34,121,93210,770.330578512,8.37404164352
35,106,76930,725.754716981,8.36808158383
36,104,94315,906.875,8.2027646403
37,100,97090,970.9,8.26041304216
38,113,95175,842.256637168,8.31825880788
39,122,96950,794.672131148,8.673100655
40,111,91385,823.288288288,8.42161224142
41,101,82155,813.415841584,8.68480882324
42,114,95850,840.789473684,8.54757099777
43,101,93750,928.217821782,8.56051387571
44,100,99850,998.5,8.57739801854
45,93,97330,1046.55913978,8.54154513881
46,103,99025,961.40776699,8.61509597637
47,103,96420,936.116504854,8.56649823569
48,93,99445,1069.30107527,8.56360564575
49,103,99120,962.330097087,8.54834717199
50,86,96145,1117.96511628,8.56035134934
51,95,99725,1049.73684211,8.770054093
52,96,98185,1022.76041667,8.81945077077
53,84,75735,901.607142857,8.71339252464
54,97,97180,1001.8556701,8.69005962394
55,110,74260,675.090909091,8.85462296844
56,89,94765,1064.7752809,8.86606015109
57,88,88065,1000.73863636,9.00023981497
58,89,94260,1059.1011236,8.85740814634
59,103,92795,900.922330097,9.04587759517
60,102,93315,914.852941176,9.14212397128
61,84,88655,1055.41666667,9.45628160782
62,98,98310,1003.16326531,9.30732466608
63,109,94880,870.458715596,9.37417124208
64,90,77295,858.833333333,9.31370885186
65,91,97530,1071.75824176,9.30336216528
66,92,100080,1087.82608696,9.29702165462
67,100,98545,985.45,9.1484195631
68,86,101955,1185.52325581,9.06188464515
69,95,94795,997.842105263,9.03977448761
70,86,98990,1151.04651163,8.91046576895
71,81,96280,1188.64197531,8.96051508874
72,96,89150,928.645833333,8.94544275515
73,100,97360,973.6,8.92614418074
74,115,98190,853.826086957,8.83849715389
75,89,100665,1131.06741573,9.02556803916
76,90,92270,1025.22222222,9.1676534234
77,87,91950,1056.89655172,9.39065917164
78,84,96900,1153.57142857,9.21295427326
79,97,81680,842.06185567,9.18212364547
80,82,96455,1176.2804878,9.23997406505
81,79,99860,1264.05063291,9.32390412487
82,83,89245,1075.24096386,9.16818377517
83,94,92775,986.968085106,9.18711400986
84,96,95100,990.625,9.0242544011
85,87,92200,1059.77011494,9.0415030095
86,79,100000,1265.82278481,9.42090002738
87,92,95985,1043.31521739,9.37174779471
88,104,95535,918.605769231,9.38150045048
89,90,99545,1106.05555556,9.34279385969
90,87,93685,1076.83908046,9.15085174505
91,70,93475,1335.35714286,9.07202298038
92,90,95710,1063.44444444,9.30001491301
93,91,96090,1055.93406593,9.42146153808
94,88,99095,1126.07954545,9.40751655988
95,87,96580,1110.11494253,9.36337891918
96,105,91465,871.095238095,9.27927049942
